community,area_km2,stop_count,stops_per_km2,density_rank,coverage_category
Downtown,16.311506621280884,364,22.315535189441402,1,High
Point Douglas,10.864817246670016,197,18.131920264041163,2,High
Inkster,18.083426161367175,245,13.548317548552264,3,High
River Heights,18.08821108773407,232,12.826033424461926,4,High
River East,34.652920660207585,404,11.658468963163577,5,High
Transcona,28.75451681411641,265,9.215943419014572,6,High
St. Boniface,47.616673049846995,389,8.169407375285955,7,High
Fort Garry,76.99009523028944,628,8.156893404554879,8,High
Seven Oaks,39.8450535486326,300,7.529165436654192,9,High
St. James - Assiniboia,59.221982221785844,340,5.7411114461975075,10,High
St. Vital,63.23145649227881,301,4.760288892550737,11,Medium
Assiniboine South,61.191992236798995,208,3.3991375733459965,12,Medium
