neighbourhood,area_km2,stop_count,stops_per_km2
Rossmere-A,3.9781059509907863,64,16.088058183583616
St. James Industrial,4.646883900648377,61,13.127076403068452
Windsor Park,3.3534751069108824,60,17.891887694753205
River Park South,4.421494970970365,59,13.343902998277423
Inkster Industrial Park,2.9360093795954647,57,19.414106915371534
Linden Woods,3.6099356769594526,56,15.51274178025444
Dakota Crossing,3.8327349675756817,55,14.350066066475014
Fort Richmond,4.59905170126145,54,11.741550977821932
Tyndall Park,3.0139956780640804,53,17.58463039138876
Chalmers,2.5203675640335272,51,20.235143765451813
